key,label,type,type_idx,n_neurons,excl_rate,excl_rate_sd,enrichment,share_of_excluded,median_act_frac,median_in_deg
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),C3,2,217,1.0000,0.0000,2.035,0.0321,0.9998,25.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),CT1(M10),4,217,1.0000,0.0000,2.035,0.0321,1.0000,7.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),L2,6,217,1.0000,0.0000,2.035,0.0321,0.0000,17.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),L4,8,217,1.0000,0.0000,2.035,0.0321,1.0000,11.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Lawf1,10,35,1.0000,0.0000,2.035,0.0052,0.0000,20.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Mi1,12,217,1.0000,0.0000,2.035,0.0321,0.8817,33.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Mi2,19,217,1.0000,0.0000,2.035,0.0321,1.0000,17.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Mi4,21,217,1.0000,0.0000,2.035,0.0321,0.9675,51.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Mi9,22,217,1.0000,0.0000,2.035,0.0321,0.9325,32.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Tm20,46,217,1.0000,0.0000,2.035,0.0321,1.0000,17.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Tm4,50,217,1.0000,0.0000,2.035,0.0321,0.2140,58.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Tm5b,53,217,1.0000,0.0000,2.035,0.0321,1.0000,28.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),TmY18,60,217,1.0000,0.0000,2.035,0.0321,1.0000,61.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),TmY9,64,217,1.0000,0.0000,2.035,0.0321,1.0000,30.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),L5,9,217,0.9991,0.0018,2.034,0.0321,0.5102,16.0
lowmeas_ko,low meas. noise gamma=0.1 (Known-ODE),Tm28,47,217,0.9908,0.0050,2.017,0.0319,0.9632,19.0
